ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1136608,Indore,14-05-2018,2018,48,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,10,NA,UT Yadav,"['KL Rahul', 'CH Gayle', 'KK Nair', 'AJ Finch', 'MP Stoinis', 'MA Agarwal', 'AR Patel', 'R Ashwin', 'AJ Tye', 'MM Sharma', 'AS Rajpoot']","['V Kohli', 'PA Patel', 'MM Ali', 'AB de Villiers', 'Mandeep Singh', 'SN Khan', 'C de Grandhomme', 'TG Southee', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']",BNJ Oxenford,VK Sharma
1136607,Mumbai,13-05-2018,2018,47,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,N,Rajasthan Royals,Wickets,7,NA,JC Buttler,"['SA Yadav', 'E Lewis', 'RG Sharma', 'Ishan Kishan', 'HH Pandya', 'KH Pandya', 'BCJ Cutting', 'JP Duminy', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']","['DJM Short', 'JC Buttler', 'AM Rahane', 'SV Samson', 'BA Stokes', 'STR Binny', 'JC Archer', 'K Gowtham', 'S Gopal', 'JD Unadkat', 'DS Kulkarni']",Nitin Menon,S Ravi
1136606,Pune,13-05-2018,2018,46,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,N,Chennai Super Kings,Wickets,8,NA,AT Rayudu,"['S Dhawan', 'AD Hales', 'KS Williamson', 'MK Pandey', 'DJ Hooda', 'Shakib Al Hasan', 'SP Goswami', 'Rashid Khan', 'B Kumar', 'S Kaul', 'Sandeep Sharma']","['SR Watson', 'AT Rayudu', 'SK Raina', 'MS Dhoni', 'SW Billings', 'DJ Bravo', 'RA Jadeja', 'DJ Willey', 'Harbhajan Singh', 'DL Chahar', 'SN Thakur']",M Erasmus,YC Barde
1136605,Delhi,12-05-2018,2018,45,Delhi Daredevils,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,5,NA,AB de Villiers,"['PP Shaw', 'JJ Roy', 'SS Iyer', 'RR Pant', 'V Shankar', 'Abhishek Sharma', 'HV Patel', 'A Mishra', 'S Lamichhane', 'CJ Dala', 'TA Boult']","['PA Patel', 'MM Ali', 'V Kohli', 'AB de Villiers', 'Mandeep Singh', 'SN Khan', 'C de Grandhomme', 'TG Southee', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']",KN Ananthapadmanabhan,HDPK Dharmasena
1136604,Indore,12-05-2018,2018,44,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,field,N,Kolkata Knight Riders,Runs,31,NA,SP Narine,"['CA Lynn', 'SP Narine', 'RV Uthappa', 'AD Russell', 'KD Karthik', 'N Rana', 'Shubman Gill', 'JPR Scantlebury-Searles', 'PP Chawla', 'Kuldeep Yadav', 'M Prasidh Krishna']","['KL Rahul', 'CH Gayle', 'MA Agarwal', 'KK Nair', 'AJ Finch', 'AR Patel', 'R Ashwin', 'AJ Tye', 'BB Sran', 'MM Sharma', 'Mujeeb Ur Rahman']",CK Nandan,VK Sharma
1136603,Jaipur,11-05-2018,2018,43,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,bat,N,Rajasthan Royals,Wickets,4,NA,JC Buttler,"['SR Watson', 'AT Rayudu', 'SK Raina', 'MS Dhoni', 'SW Billings', 'DJ Bravo', 'RA Jadeja', 'DJ Willey', 'Harbhajan Singh', 'SN Thakur', 'KV Sharma']","['JC Buttler', 'BA Stokes', 'AM Rahane', 'SV Samson', 'P Chopra', 'STR Binny', 'K Gowtham', 'JC Archer', 'Ankit Sharma', 'JD Unadkat', 'IS Sodhi']",M Erasmus,YC Barde
1136602,Delhi,10-05-2018,2018,42,Delhi Daredevils,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi Daredevils,bat,N,Sunrisers Hyderabad,Wickets,9,NA,S Dhawan,"['PP Shaw', 'JJ Roy', 'SS Iyer', 'RR Pant', 'HV Patel', 'GJ Maxwell', 'V Shankar', 'LE Plunkett', 'S Nadeem', 'A Mishra', 'TA Boult']","['AD Hales', 'S Dhawan', 'KS Williamson', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'SP Goswami', 'Rashid Khan', 'B Kumar', 'S Kaul', 'Sandeep Sharma']",AY Dandekar,C Shamshuddin
1136601,Kolkata,09-05-2018,2018,41,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,N,Mumbai Indians,Runs,102,NA,Ishan Kishan,"['SA Yadav', 'E Lewis', 'RG Sharma', 'Ishan Kishan', 'HH Pandya', 'BCJ Cutting', 'KH Pandya', 'JP Duminy', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']","['SP Narine', 'CA Lynn', 'RV Uthappa', 'N Rana', 'AD Russell', 'KD Karthik', 'RK Singh', 'TK Curran', 'PP Chawla', 'Kuldeep Yadav', 'M Prasidh Krishna']",KN Ananthapadmanabhan,AK Chaudhary
1136600,Jaipur,08-05-2018,2018,40,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,bat,N,Rajasthan Royals,Runs,15,NA,JC Buttler,"['AM Rahane', 'JC Buttler', 'K Gowtham', 'SV Samson', 'BA Stokes', 'STR Binny', 'MK Lomror', 'JC Archer', 'JD Unadkat', 'IS Sodhi', 'Anureet Singh']","['KL Rahul', 'CH Gayle', 'R Ashwin', 'KK Nair', 'AD Nath', 'MK Tiwary', 'AR Patel', 'MP Stoinis', 'AJ Tye', 'MM Sharma', 'Mujeeb Ur Rahman']",M Erasmus,Nitin Menon
1136599,Hyderabad,07-05-2018,2018,39,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,N,Sunrisers Hyderabad,Runs,5,NA,KS Williamson,"['AD Hales', 'S Dhawan', 'KS Williamson', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'WP Saha', 'Rashid Khan', 'B Kumar', 'S Kaul', 'Sandeep Sharma']","['M Vohra', 'PA Patel', 'V Kohli', 'AB de Villiers', 'MM Ali', 'Mandeep Singh', 'C de Grandhomme', 'TG Southee', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']",BNJ Oxenford,VK Sharma
1136598,Indore,06-05-2018,2018,38,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,field,N,Kings XI Punjab,Wickets,6,NA,Mujeeb Ur Rahman,"['JC Buttler', 'DJM Short', 'AM Rahane', 'SV Samson', 'BA Stokes', 'RA Tripathi', 'JC Archer', 'K Gowtham', 'S Gopal', 'JD Unadkat', 'Anureet Singh']","['KL Rahul', 'CH Gayle', 'MA Agarwal', 'KK Nair', 'AR Patel', 'MP Stoinis', 'MK Tiwary', 'R Ashwin', 'Mujeeb Ur Rahman', 'AS Rajpoot', 'AJ Tye']",C Shamshuddin,S Ravi
1136597,Mumbai,06-05-2018,2018,37,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,N,Mumbai Indians,Runs,13,NA,HH Pandya,"['SA Yadav', 'E Lewis', 'RG Sharma', 'HH Pandya', 'KH Pandya', 'JP Duminy', 'Ishan Kishan', 'BCJ Cutting', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']","['CA Lynn', 'Shubman Gill', 'RV Uthappa', 'N Rana', 'KD Karthik', 'AD Russell', 'SP Narine', 'PP Chawla', 'MG Johnson', 'M Prasidh Krishna', 'Kuldeep Yadav']",A Deshmukh,HDPK Dharmasena
1136596,Hyderabad,05-05-2018,2018,36,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Delhi Daredevils,bat,N,Sunrisers Hyderabad,Wickets,7,NA,Rashid Khan,"['PP Shaw', 'GJ Maxwell', 'SS Iyer', 'RR Pant', 'NV Ojha', 'V Shankar', 'DT Christian', 'LE Plunkett', 'A Mishra', 'Avesh Khan', 'TA Boult']","['AD Hales', 'S Dhawan', 'KS Williamson', 'MK Pandey', 'YK Pathan', 'Shakib Al Hasan', 'WP Saha', 'B Kumar', 'Rashid Khan', 'S Kaul', 'Sandeep Sharma']",BNJ Oxenford,CK Nandan
1136595,Pune,05-05-2018,2018,35,Royal Challengers Bangalore,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,N,Chennai Super Kings,Wickets,6,NA,RA Jadeja,"['PA Patel', 'BB McCullum', 'V Kohli', 'AB de Villiers', 'Mandeep Singh', 'C de Grandhomme', 'M Ashwin', 'TG Southee', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']","['SR Watson', 'AT Rayudu', 'SK Raina', 'DR Shorey', 'MS Dhoni', 'DJ Bravo', 'RA Jadeja', 'DJ Willey', 'Harbhajan Singh', 'L Ngidi', 'SN Thakur']",Nitin Menon,YC Barde
1136594,Indore,04-05-2018,2018,34,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,field,N,Mumbai Indians,Wickets,6,NA,SA Yadav,"['KL Rahul', 'CH Gayle', 'Yuvraj Singh', 'KK Nair', 'AR Patel', 'MP Stoinis', 'MA Agarwal', 'R Ashwin', 'AJ Tye', 'Mujeeb Ur Rahman', 'AS Rajpoot']","['SA Yadav', 'E Lewis', 'Ishan Kishan', 'HH Pandya', 'RG Sharma', 'KH Pandya', 'JP Duminy', 'BCJ Cutting', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']",AY Dandekar,S Ravi
1136593,Kolkata,03-05-2018,2018,33,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,SP Narine,"['SR Watson', 'F du Plessis', 'SK Raina', 'AT Rayudu', 'MS Dhoni', 'RA Jadeja', 'KV Sharma', 'DJ Bravo', 'Harbhajan Singh', 'KM Asif', 'L Ngidi']","['CA Lynn', 'SP Narine', 'RV Uthappa', 'Shubman Gill', 'RK Singh', 'KD Karthik', 'AD Russell', 'Shivam Mavi', 'PP Chawla', 'MG Johnson', 'Kuldeep Yadav']",A Deshmukh,HDPK Dharmasena
1136592,Delhi,02-05-2018,2018,32,Delhi Daredevils,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,N,Delhi Daredevils,Runs,4,D/L,RR Pant,"['PP Shaw', 'C Munro', 'SS Iyer', 'RR Pant', 'GJ Maxwell', 'V Shankar', 'LE Plunkett', 'A Mishra', 'S Nadeem', 'Avesh Khan', 'TA Boult']","['DJM Short', 'JC Buttler', 'SV Samson', 'BA Stokes', 'RA Tripathi', 'K Gowtham', 'JC Archer', 'AM Rahane', 'JD Unadkat', 'DS Kulkarni', 'S Gopal']",CK Nandan,VK Sharma
1136591,Bengaluru,01-05-2018,2018,31,Royal Challengers Bangalore,Mumbai Indians,M.Chinnaswamy Stadium,Mumbai Indians,field,N,Royal Challengers Bangalore,Runs,14,NA,TG Southee,"['M Vohra', 'Q de Kock', 'BB McCullum', 'V Kohli', 'Mandeep Singh', 'C de Grandhomme', 'Washington Sundar', 'TG Southee', 'UT Yadav', 'YS Chahal', 'Mohammed Siraj']","['SA Yadav', 'Ishan Kishan', 'JP Duminy', 'RG Sharma', 'KA Pollard', 'HH Pandya', 'KH Pandya', 'BCJ Cutting', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']",M Erasmus,Nitin Menon
